query,slot filling
Which stocks are anticipated to show the highest price gain for the upcoming day?,O select-stock O O O O O order-by-forecasted_price_change-desc select-forecasted_price_change order-by-forecasted_price_change-desc O O O O
Can you identify the stocks with the highest expected price increase for tomorrow?,O O O O select-stock O O order-by-forecasted_price_change-desc select-forecasted_price_change select-forecasted_price order-by-forecasted_price_change-desc O O
What stocks are forecasted to have the greatest uptick in price tomorrow?,O select-stock O select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price_change O select-forecasted_price O
Which stocks do you expect to have the most substantial price increase by tomorrow?,O select-stock O O select-forecasted_price O O O order-by-forecasted_price_change-desc O select-forecasted_price select-forecasted_price_change O O
Can you point out the stocks that are likely to witness the highest price surge for tomorrow?,O O O O O select-stock O O O O O O order-by-forecasted_price_change-desc select-forecasted_price order-by-forecasted_price_change-desc O O
What stocks are projected to exhibit the highest increase in value for tomorrow?,O select-stock O select-forecasted_price_change O O O order-by-forecasted_price_change-desc order-by-forecasted_price_change-desc O select-forecasted_price O O
Which stocks are expected to see the most substantial price growth for tomorrow?,O select-stock O select-forecasted_price_change O O O O O select-forecasted_price_change order-by-forecasted_price_change-desc O O
Can you list the stocks that are anticipated to have the highest price increase tomorrow?,O O O O select-stock O O select-forecasted_price_change O O O order-by-forecasted_price_change-desc select-forecasted_price order-by-forecasted_price_change-desc O
What stocks are likely to show the highest increase in price for the upcoming day?,O select-stock O O O O O order-by-forecasted_price_change-desc order-by-forecasted_price_change-desc O select-forecasted_price O O O O
Which stocks do you predict will experience the most significant price surge tomorrow?,O select-stock O O select-forecasted_price O O O order-by-forecasted_price_change-desc O select-forecasted_price_change order-by-forecasted_price_change-desc O
Can you specify the stocks with the highest expected price increase for tomorrow?,O O select-stock O select-stock O O order-by-forecasted_price_change-desc select-forecasted_price select-forecasted_price order-by-forecasted_price_change-desc O O
What stocks are projected to have the greatest uptick in price tomorrow?,O select-stock O select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price_change O select-forecasted_price O
Which stocks are forecasted to undergo the highest increase in value for tomorrow?,O select-stock O select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price_change O O O O
Can you highlight the stocks that are expected to witness the highest price surge for tomorrow?,O O O O select-stock O O select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price order-by-forecasted_price_change-desc O O
What stocks are expected to demonstrate the most substantial price growth for tomorrow?,O select-stock O select-forecasted_price O O O order-by-forecasted_price_change-desc O select-forecasted_price select-forecasted_price_change O O
Which stocks are projected to exhibit the highest increase in price for tomorrow?,O select-stock O select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price_change O select-forecasted_price O O
Can you provide information on the stocks anticipated to have the highest price increase tomorrow?,O O O O O O select-stock select-forecasted_price O O O order-by-forecasted_price_change-desc select-forecasted_price select-forecasted_price_change O
What stocks are likely to show the highest increase in price for the upcoming day?,O select-stock O O O O O order-by-forecasted_price_change-desc select-forecasted_price_change O select-forecasted_price O O O O
Can you predict the stocks that will experience the most significant price surge tomorrow?,O O select-forecasted_price O select-stock O O select-forecasted_price_change O order-by-forecasted_price_change-desc order-by-forecasted_price_change-desc select-forecasted_price_change order-by-forecasted_price_change-desc O
